RCODE,Region,top20,programs,instructor,mentor,outreach,phone
01R04,Alabama Region,,i,1,,,
02R04,Alaska Region,,io,3,,1,
37R04,Cascades Region,,im,1,1,,
43R08,Central and South Texas Region,,imop,2,1,2,1
13R12,Central and Southern Illinois Region,,i,1,,,
05R04,Central California Region,,i,6,,,
38R16,Central Pennsylvania Region,,i,1,,,
07R08,Connecticut and Rhode Island Region,,i,1,,,
34R08,Dakotas Region,,,,,,
05R32,Desert to the Sea Region,,i,1,,,
32R04,Eastern New York Region,,io,3,,1,
33R16,Eastern North Carolina Region,,,,,,
38R24,Eastern Pennsylvania Region,,imo,2,1,1,
11R04,Georgia Region,,i,4,,,
05R20,Gold Country Region,,,,,,
20R04,Greater Chesapeake Region,,io,1,,1,
35R12,Greater Cincinnati-Dayton Region,,io,1,,1,
12R04,Idaho and Montana Region,,,,,,
14R12,Indiana Region,,i,1,,,
15R08,Iowa Region,,i,1,,,
18R08,Louisiana Region,,,,,,
19R04,Maine Region,,i,1,,,
24R08,Mississippi Region,,,,,,
29R04,New Hampshire and Vermont Region,,io,2,,1,
30R08,New Jersey Region,,imo,3,1,1,
10R08,North Florida Region,,i,3,,,
35R16,Northeast Ohio Region,,i,1,,,
05R28,Northern California Coastal Region,,im,1,2,,
35R20,Ohio Buckeye Region,,io,2,1,,
36R04,Oklahoma and Arkansas Region,,i,1,,,
54R04,Pacific Islands Region,,i,1,,,
56R04,Puerto Rico Region,,i,1,,,
40R08,South Carolina Region,,io,1,,1,
46R08,Virginia Region,,i,2,,,
48R04,West Virginia Region,,,,,,
25R12,Western Missouri Region,,io,1,,2,
33R08,Western North Carolina Region,,im,1,1,,
38R28,Western Pennsylvania Region,,i,1,,,
49R12,Wisconsin Region,,o,,,1,
06R08,Colorado and Wyoming Region,1,imop,2,1,2,1
22R08,Michigan Region,2,i,5,,,
03R04,Arizona New Mexico El Paso Region,3,imop,4,1,3,1
32R16,Greater New York Region,4,i,1,,,
05R12,Los Angeles Region,5,imop,5,2,2,1
44R04,Utah and Nevada Region,6,imo,1,1,2,
47R08,Northwest Region,7,im,3,1,,
43R16,North Texas Region,8,i,4,,,
05R24,San Diego Region,9,iop,3,,1,1
13R04,Chicago and Northern Illinois Region,10,im,1,,,
42R20,Tennessee Region,11,i,4,,,
27R12,Kansas Nebraska SW Iowa Region,12,i,2,,,
17R08,Kentucky Region,13,i,2,,,
32R20,Western and Central New York Region,14,i,1,,,
43R28,Texas Gulf Coast Region,15,iop,1,,1,1
10R28,Central Florida Region,16,i,1,,,
10R12,South Florida Region,17,i,1,,,
23R12,Minnesota Region,18,imo,1,1,2,
25R16,Eastern Missouri Region,19,i,2,,,
21R04,Massachusetts Region,20,i,2,,,
09R04,National Capital Area Region,20,mo,8,,1,